id,texto,sentimiento,categoria,fecha,dia_semana,hora_aproximada,es_fin_de_semana,calificacion,canal,precio_rango,tiempo_desde_compra_dias,tema_principal,longitud_caracteres,num_palabras,tiene_mayusculas_excesivas,num_signos_exclamacion,tiempo_respuesta_horas,fue_respondido,resolucion,prioridad,requiere_atencion_inmediata,confianza_modelo,requiere_revision_humana
1,Es aceptable,Neutro,Soporte Técnico,2024-12-09,Monday,Noche,False,3,Teléfono,Premium,88,Producto Defectuoso,12,2,False,0,36.0,True,N/A,Media,False,0.76,True
2,Es adecuado. Servicio regular,Neutro,Delivery,2025-08-03,Sunday,Tarde,True,3,Email,Premium,23,Atención,29,4,False,0,55.0,True,Resuelto,Baja,False,0.64,True
3,El servicio fue malísimo!,Negativo,Delivery,2024-02-04,Sunday,Noche,True,1,App Móvil,Premium,46,Atención,25,4,False,1,,False,N/A,Media,False,0.81,False
4,"Entrega rápida y producto impecable. Servicio de 10, gracias!",Positivo,Aplicación Móvil,2025-11-15,Saturday,Mañana,True,5,Email,Premium,24,Atención,61,9,False,1,,False,N/A,Baja,False,0.85,False
5,No lo recomiendo para nada,Negativo,Hotel,2024-09-26,Thursday,Noche,False,1,Chat,Premium,105,Calidad,26,5,False,0,,False,N/A,Media,False,0.94,False
6,Súper contento con mi compra. Excelente en todos los aspectos!,Positivo,Aplicación Móvil,2025-03-29,Saturday,Noche,True,4,Web,Premium,3,Entrega,62,10,False,1,5.0,True,Resuelto,Baja,False,0.89,False
7,Estoy muy contento con el resultado,Positivo,E-commerce,2024-02-14,Wednesday,Tarde,False,5,Teléfono,Premium,14,Precio,35,6,False,0,35.0,True,N/A,Baja,False,0.87,False
8,"Producto terrible, una estafa. El personal fue muy grosero",Negativo,E-commerce,2025-06-01,Sunday,Noche,True,1,Email,Económico,52,Atención,58,9,False,0,,False,N/A,Media,False,0.73,True
9,"Normal, como esperaba",Neutro,Hotel,2024-09-05,Thursday,Mañana,False,3,App Móvil,Medio,63,Producto Defectuoso,21,3,False,0,56.0,True,N/A,Media,False,0.79,True
10,Pésima ATENCIÓN al cliente,Negativo,Servicio,2024-07-31,Wednesday,Noche,False,2,Web,Medio,111,Atención,26,4,True,0,,False,N/A,Alta,True,0.74,True
11,"Está bien, sin sorpresas",Neutro,Producto,2024-08-30,Friday,Tarde,False,3,Tienda Física,Medio,38,Producto Defectuoso,24,4,False,0,39.0,True,N/A,Media,False,0.82,False
12,Servicio normal. Producto ordinario,Neutro,Soporte Técnico,2024-01-12,Friday,Mañana,False,3,Chat,Premium,80,Atención,35,4,False,0,4.0,True,N/A,Baja,False,0.89,False
13,"Muy insatisfecho, no volveré!!",Negativo,Banco,2024-12-26,Thursday,Mañana,False,2,Email,Económico,22,Entrega,30,4,False,2,5.0,True,Resuelto,Alta,True,0.79,True
14,Súper contento con mi compra,Positivo,Delivery,2025-07-20,Sunday,Mañana,True,4,Email,Premium,55,Entrega,28,5,False,0,5.0,True,Resuelto,Baja,False,0.84,False
15,Es aceptable,Neutro,Servicio,2025-12-06,Saturday,Tarde,True,3,Web,Económico,68,Atención,12,2,False,0,63.0,True,Resuelto,Baja,False,0.7,True
16,Producto duradero y de calidad,Positivo,Soporte Técnico,2024-07-12,Friday,Tarde,False,4,Tienda Física,Económico,29,Calidad,30,5,False,0,32.0,True,N/A,Baja,False,0.92,False
17,Todo llegó en perfectas condiciones,Positivo,Servicio,2024-12-17,Tuesday,Tarde,False,4,Chat,Económico,64,Entrega,35,5,False,0,40.0,True,Resuelto,Baja,False,0.83,False
18,Muy buen empaquetado y producto!,Positivo,Banco,2025-06-13,Friday,Noche,False,5,App Móvil,Medio,21,Entrega,32,5,False,1,11.0,True,Resuelto,Baja,False,0.89,False
19,"Normal, como esperaba",Neutro,Hotel,2025-04-26,Saturday,Tarde,True,3,Tienda Física,Premium,71,Producto Defectuoso,21,3,False,0,4.0,True,N/A,Media,False,0.63,True
20,"Es lo que esperaba, nada más",Neutro,Servicio,2025-10-01,Wednesday,Noche,False,3,Teléfono,Económico,13,Calidad,28,6,False,0,2.0,True,N/A,Baja,False,0.87,False
21,Ni bueno ni malo,Neutro,Servicio,2024-12-15,Sunday,Tarde,True,3,Web,Premium,59,Calidad,16,4,False,0,45.0,True,N/A,Baja,False,0.76,True
22,Producto de baja calidad,Negativo,Delivery,2025-05-30,Friday,Noche,False,2,App Móvil,Premium,95,Calidad,24,4,False,0,,False,N/A,Media,False,0.77,True
23,Muy profesionales y atentos,Positivo,Delivery,2025-05-14,Wednesday,Noche,False,4,Tienda Física,Medio,64,Atención,27,4,False,0,18.0,True,Resuelto,Baja,False,0.9,False
24,Cumple su función,Neutro,Aplicación Móvil,2025-09-09,Tuesday,Mañana,False,3,App Móvil,Medio,85,Producto Defectuoso,17,3,False,0,,False,N/A,Media,False,0.61,True
25,El servicio fue malísimo. Pésima atención al cliente!,Negativo,E-commerce,2024-05-11,Saturday,Noche,True,2,App Móvil,Premium,97,Atención,53,8,False,1,,False,N/A,Media,False,0.87,False
26,Está bien para el día a día,Neutro,Hotel,2025-08-17,Sunday,Mañana,True,3,Email,Premium,4,Atención,27,7,False,0,,False,N/A,Baja,False,0.6,True
27,Está ok,Neutro,Servicio,2025-07-20,Sunday,Tarde,True,3,Email,Premium,66,Producto Defectuoso,7,2,False,0,,False,N/A,Media,False,0.75,True
28,La atención al cliente fue maravillosa,Positivo,E-commerce,2025-06-23,Monday,Tarde,False,5,App Móvil,Premium,71,Atención,38,6,False,0,3.0,True,Resuelto,Baja,False,0.98,False
29,Ni más ni menos,Neutro,Producto,2024-03-14,Thursday,Mañana,False,3,Chat,Económico,58,Precio,15,4,False,0,,False,N/A,Baja,False,0.64,True
30,Una pérdida de dinero,Negativo,Servicio,2025-01-05,Sunday,Mañana,True,2,Teléfono,Premium,107,Precio,21,4,False,0,,False,N/A,Media,False,0.94,False
31,"Excelente servicio, muy recomendado. Ideal para lo que necesitaba",Positivo,Hotel,2024-05-30,Thursday,Mañana,False,5,Tienda Física,Económico,85,Atención,65,9,False,0,34.0,True,N/A,Baja,False,0.92,False
